congressional_district,County Name,Grade Band,Offers CS?,School District Name,School Id,School Name,School Type (group),Grades Hi,Grades Lo,Gradespan,School Type,School Year,Stage El,Stage Hi,Stage Mi,State,State name,Teaches Cs,Students - Asian,Students - Black,Students - Native American,Students - Hispanic/Latinx,Students - Pacific Islander,Students - Two or More Races,Students - White,urban_rural,Latitude,Longitude,num_students
7,Suffolk County,Mixed,Yes,BOSTON,2.50E+11,O'BRYANT SCHOOL MATH/SCIENCE,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,46.28571429,74.14285714,0.428571429,75,0.428571429,4.428571429,26.28571429,Urban,42.331358,-71.088923,1589
4,Bristol County,12-Sep,Yes,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL,2.51E+11,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,3.142857143,71.85714286,0,26.57142857,0,12.71428571,93.85714286,Rural,42.010321,-71.081801,1458
5,Middlesex County,12-Sep,Yes,CAMBRIDGE,2.50E+11,CAMBRIDGE RINDGE AND LATIN,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,29.85714286,78.85714286,1,41.85714286,1.142857143,21.85714286,107.8571429,Urban,42.374221,-71.112044,1977
6,Essex County,Mixed,Yes,PIONEER CHARTER SCHOOL OF SCIENCE II (PCSS-II) (DISTRICT),2.50E+11,PIONEER CHARTER SCHOOL OF SCIENCE II (PCSS-II),public & charter,12,7,12-Jul,charter,2019,0,1,1,MA,Massachusetts,Yes,6.142857143,18.28571429,0.142857143,12.28571429,0,0.857142857,13.71428571,Urban,42.465301,-71.018412,360
9,Plymouth County,Mixed,Yes,RISING TIDE CHARTER PUBLIC (DISTRICT),2.50E+11,RISING TIDE CHARTER PUBLIC SCHOOL,public & charter,12,5,12-May,charter,2019,1,1,1,MA,Massachusetts,Yes,1.428571429,0.857142857,1,3.428571429,0,6.142857143,81,Urban,41.957336,-70.696781,657
9,Dukes County,12-Sep,Yes,MARTHA'S VINEYARD,2.51E+11,MARTHA'S VINEYARD REGIONAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.142857143,4.285714286,1.857142857,18.57142857,0.285714286,4.571428571,65,Urban,41.417936,-70.596081,670
8,Norfolk County,Mixed,Yes,MILTON,2.51E+11,MILTON HIGH,public & charter,12,9,12-Sep,public,2019,1,1,0,MA,Massachusetts,Yes,9.571428571,29.28571429,0.285714286,8.285714286,0.285714286,4.571428571,100.4285714,Urban,42.25159,-71.087037,1070
2,Worcester County,12-Sep,Yes,NARRAGANSETT,2.51E+11,NARRAGANSETT REGIONAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0,0.428571429,0,4,0,1.142857143,41.14285714,Urban,42.587922,-72.074137,327
2,Hampshire County,Mixed,No,PIONEER VALLEY CHINESE IMMERSION CHARTER (DISTRICT),2.50E+11,PIONEER VALLEY CHINESE IMMERSION CHARTER SCHOOL,public & charter,12,KG,KG - 12,charter,2019,1,1,1,MA,Massachusetts,No,14.85714286,7.142857143,0,5.714285714,0.142857143,9.857142857,39.14285714,Urban,42.352984,-72.558161,540
8,Plymouth County,12-Sep,Yes,BRIDGEWATER-RAYNHAM,2.50E+11,BRIDGEWATER-RAYNHAM REGIONAL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4.428571429,11.85714286,0.142857143,2.857142857,0.142857143,9.714285714,173.5714286,Urban,41.991114,-70.993141,1419
7,Suffolk County,12-Sep,Yes,BOSTON,2.50E+11,BOSTON INTERNATIONAL HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4.714285714,20.28571429,0.142857143,35,0.142857143,0,1,Urban,42.281267,-71.080897,429
9,Barnstable County,Mixed,Yes,MONOMOY REGIONAL SCHOOL DISTRICT,2.50E+11,MONOMOY REGIONAL HIGH SCHOOL,public & charter,12,8,12-Aug,public,2019,0,1,1,MA,Massachusetts,Yes,1.428571429,7.285714286,0.571428571,6.571428571,0.285714286,4,71.14285714,Urban,41.690149,-70.067596,639
8,Plymouth County,Mixed,No,BROCKTON,2.50E+11,HUNTINGTON THERAPEUTIC DAY SCHOOL,public & charter,12,2,12-Feb,public,2019,1,1,1,MA,Massachusetts,No,0.142857143,4.285714286,0.142857143,1.857142857,0,0.428571429,2.285714286,Urban,42.062659,-71.019639,64
1,Berkshire County,Mixed,Yes,LENOX,2.51E+11,LENOX MEMORIAL HIGH,public & charter,12,6,12-Jun,public,2019,0,1,1,MA,Massachusetts,Yes,2.857142857,0.428571429,0,5.857142857,0,2.142857143,54.28571429,Urban,42.351705,-73.259082,459
3,Worcester County,Mixed,No,CLINTON,2.50E+11,CLINTON SENIOR HIGH,public & charter,12,9,12-Sep,public,2019,1,1,0,MA,Massachusetts,No,1.285714286,3.142857143,0,19.42857143,0,0.857142857,41,Urban,42.409213,-71.705976,460
9,Bristol County,Mixed,No,ATLANTIS CHARTER (DISTRICT),2.50E+11,ATLANTIS CHARTER SCHOOL,public & charter,12,KG,KG - 12,charter,2019,1,1,1,MA,Massachusetts,No,3.285714286,10.14285714,0.285714286,24.42857143,0.142857143,7.714285714,140,Urban,41.670113,-71.1437,1302
6,Essex County,12-Sep,Yes,LYNNFIELD,2.51E+11,LYNNFIELD HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4,2.285714286,0,4,0,1.571428571,74.42857143,Urban,42.539097,-71.033263,605
8,Plymouth County,12-Sep,Yes,HINGHAM,2.51E+11,HINGHAM HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,6,2.142857143,0,6.428571429,0,4.857142857,166.5714286,Urban,42.227476,-70.87764,1302
2,Franklin County,Mixed,Yes,PIONEER VALLEY,2.51E+11,PIONEER VALLEY REGIONAL,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,0.428571429,0.571428571,0,0.857142857,0,1.428571429,39.28571429,Rural,42.683668,-72.484978,298
7,Suffolk County,12-Sep,No,BOSTON,2.50E+11,COMMUNITY ACADEMY,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,0,4.142857143,0.142857143,3.571428571,0,0.142857143,0.142857143,Urban,42.30897,-71.103453,57
7,Suffolk County,Mixed,Yes,BOSTON,2.50E+11,HORACE MANN SCHOOL FOR THE DEAF,public & charter,12,1,12-Jan,public,2019,1,1,1,MA,Massachusetts,Yes,0.571428571,3.714285714,0,5.428571429,0,0,1.142857143,Urban,42.352795,-71.137633,76
2,Hampshire County,Mixed,Yes,HATFIELD,2.51E+11,SMITH ACADEMY,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,0.285714286,0.142857143,0,0.714285714,0,0.857142857,24.85714286,Rural,42.375684,-72.600775,188
